id,value,unit
Kis_SPC_26699_Cell,0.04,CustomUnit("M")
Act,0.0002083333,CustomUnit("molswedgeonegwedgeone")
Kb_SPC_56_cytosol,0.000778,CustomUnit("M")
Ka_SPC_37_cytosol,0.0000363,CustomUnit("M")
Kia_SPC_37_cytosol,0.0000403,CustomUnit("M")
kcat,4.9,CustomUnit("swedgeone")
Kib_SPC_56_cytosol,0.0111,CustomUnit("M")
Km_SPC_56_cytoplasm,0.005,CustomUnit("M")
Kiu_SPC_1273_cytosol,0.019,CustomUnit("M")
kcat,0.14,CustomUnit("swedgeone")
Km_SPC_56_Cell,0.0001,CustomUnit("M")
kcat_Km_SPC_56_Cell,1400,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_37_cytosol,0.0000363,CustomUnit("M")
Kis_SPC_1273_cytosol,0.00038,CustomUnit("M")
kcat,4.9,CustomUnit("swedgeone")
Vmax_KmS_SPC_56_Cell,0.16667,CustomUnit("katMwedgeonegwedgeone")
Vmax,0.0001433362,CustomUnit("katgwedgeone")
KiA_SPC_37_Cell,0.00034,CustomUnit("M")
KmS_SPC_56_Cell,0.00084,CustomUnit("M")
KmA_SPC_37_Cell,0.00018,CustomUnit("M")
Act,0.0000005,CustomUnit("molswedgeonegwedgeone")
Ki_SPC_56_Cell,0.1,CustomUnit("M")
Vmax,0.2166667,CustomUnit("molswedgeonemolwedgeone")
Km_SPC_56_Cell,0.00015,CustomUnit("M")
Ki_SPC_9941_Cell,0.0000035,CustomUnit("M")
kcat,0.08333333,CustomUnit("swedgeone")
Ki_SPC_9941_Cell,0.000011,CustomUnit("M")
Km_SPC_37_Cell,0.000005,CustomUnit("M")
Km_2_SPC_56_Cell,0.003,CustomUnit("M")
kcat_Km_2_SPC_56_Cell,502,CustomUnit("Mwedgeoneswedgeone")
Vmax_2,0.0000350007,CustomUnit("katgwedgeone")
kcat_Km_1_SPC_56_Cell,226,CustomUnit("Mwedgeoneswedgeone")
Km_1_SPC_56_Cell,0.057,CustomUnit("M")
Vmax_1,0.000300006,CustomUnit("katgwedgeone")
Km_A_SPC_56_Cell,0.00015,CustomUnit("M")
Km_B_SPC_37_Cell,0.000074,CustomUnit("M")
Km_SPC_37_Cell,0.000074,CustomUnit("M")
kcat,0.5833333,CustomUnit("swedgeone")
kcatdivKm_B_SPC_56_Cell,483.3333,CustomUnit("Mwedgeoneswedgeone")
Km_A_SPC_37_Cell,0.000037,CustomUnit("M")
Km_B_SPC_56_Cell,0.0012,CustomUnit("M")
Km_SPC_1292_cytoplasm,0.00114,CustomUnit("M")
Km_SPC_38_cytoplasm,0.00003,CustomUnit("M")
Vmax,0.0015,CustomUnit("molswedgeonegwedgeone")
ADHADH5Knad_SPC_37_Cell,0.00017,CustomUnit("M")
ADHADH5Knadh_SPC_38_Cell,0.00011,CustomUnit("M")
KeqADH,14492.75,CustomUnit("")
ADHADH5Ketoh_SPC_56_Cell,0.017,CustomUnit("M")
ADHADH5Kietoh_SPC_56_Cell,0.09,CustomUnit("M")
ADHADH5Kiacald_SPC_1292_Cell,0.0011,CustomUnit("M")
ADHADH5kcat,0,CustomUnit("swedgeone")
ADHADH5Kacald_SPC_1292_Cell,0.00111,CustomUnit("M")
ADHADH5Kinad_SPC_37_Cell,0.00092,CustomUnit("M")
ADHADH5Kinadh_SPC_38_Cell,0.000031,CustomUnit("M")
kcat,0,CustomUnit("")
Km_SPC_37_Cell,0.000009,CustomUnit("M")
Km_SPC_56_Cell,5,CustomUnit("M")
kcat,16.66667,CustomUnit("swedgeone")
kcat_Km_SPC_56_Cell,3.333333,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_38_cytoplasm,0.000014,CustomUnit("M")
Vmax,0.008333333,CustomUnit("molswedgeonegwedgeone")
Km_SPC_38_cytoplasm,0.0002,CustomUnit("M")
Ki_SPC_5111_Cell,0.00056,CustomUnit("M")
Km_SPC_56_Cell,0.00031,CustomUnit("M")
kcat,1.066667,CustomUnit("swedgeone")
kcat_Km_SPC_56_Cell,3433.333,CustomUnit("Mwedgeoneswedgeone")
Vmax,0.0001666667,CustomUnit("molswedgeonegwedgeone")
Km_SPC_56_Cell,0.0081,CustomUnit("M")
kcat_Km_SPC_56_Cell,816.6667,CustomUnit("Mwedgeoneswedgeone")
kcat,6.633333,CustomUnit("swedgeone")
Ki_SPC_9941_Cell,0.000000335,CustomUnit("M")
kcat_Km_SPC_56_Cell,1183.333,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_Cell,0.0041,CustomUnit("M")
kcat,4.916667,CustomUnit("swedgeone")
Ki_SPC_9941_Cell,0.00000043,CustomUnit("M")
